,Date,Text,Positive,Negative,Neutral,Compound
34,Tue Mar 13 01:47:01 +0000 2018,RT @nytopinion: A stranger snapped a photo of my daughter mesmerized by Amy Sherald's portrait of Michelle Obama. The image resonated with…,0.0,0.0,1.0,0.0
35,Tue Mar 13 01:32:04 +0000 2018,New England is bracing for yet another winter storm — a third in less than two weeks https://t.co/xMeFdHyFHZ,0.0,0.0,1.0,0.0
36,Tue Mar 13 01:17:07 +0000 2018,"RT @marcatracy: Two years ago, all six of the first-round upsets @zschonbrun and I picked were right. so maybe you'll want to consult this…",0.062,0.1,0.838,-0.235
37,Tue Mar 13 01:02:05 +0000 2018,Evening Briefing: Here's what you need to know at the end of the day https://t.co/qHy2he7FzU,0.0,0.0,1.0,0.0
38,Tue Mar 13 00:47:03 +0000 2018,"If you plan to visit Brazil, the CDC says you will need a yellow fever vaccination https://t.co/xfUwG2UNKF",0.0,0.0,1.0,0.0
39,Tue Mar 13 00:32:04 +0000 2018,Supervolcanoes have the power to coat entire continents in ash. But they might not be as apocalyptic as previously… https://t.co/8TKke5mPFd,0.156,0.0,0.844,0.5448
40,Tue Mar 13 00:17:07 +0000 2018,RT @nytpolitics: President Trump has abandoned his live-on-television promise to work for gun control measures that are opposed by the Nati…,0.089,0.21,0.7,-0.4767
41,Tue Mar 13 00:00:14 +0000 2018,"The idea that the ""customer is always right"" leaves servers caught in a power imbalance that has become front and c… https://t.co/anoDWyzpbo",0.0,0.0,1.0,0.0
42,Mon Mar 12 23:47:02 +0000 2018,The United States’ military capabilities still dominate Asia. But China has started to wield growing military power… https://t.co/G704k2cBje,0.214,0.071,0.714,0.4588
43,Mon Mar 12 23:32:03 +0000 2018,How to spend 36 hours in Auckland https://t.co/Q4Drc82aHL,0.0,0.0,1.0,0.0
44,Mon Mar 12 23:17:01 +0000 2018,"RT @NYTObits: Oskar Gröning, a corporal in Hitler’s Waffen SS who became known as the bookkeeper of Auschwitz and was one of the very last…",0.0,0.0,1.0,0.0
45,Mon Mar 12 23:05:08 +0000 2018,"Breaking News: President Trump blocked a takeover of the chip maker Qualcomm by Singapore-based Broadcom, citing na… https://t.co/tYJjVfJPRl",0.0,0.116,0.884,-0.2732
46,Mon Mar 12 23:02:07 +0000 2018,"“I lied,” said the antiques dealer. “I cheated. I stole.” And he succeeded, temporarily. https://t.co/32gPjjA1BN",0.155,0.182,0.663,-0.128
