,Date,Text,Positive,Negative,Neutral,Compound
31,Fri Mar 09 21:37:31 +0000 2018,"""All I can say is, it was church. It was Oprah Winfrey from like '96, '97. She starts dancing, she's preaching...I… https://t.co/ys3lSFBfQZ",0.111,0.0,0.889,0.3612
32,Fri Mar 09 21:23:23 +0000 2018,".@VanJones68 on new Florida gun reform law: “This is progress” in that a Republican governor, majority-Republican H… https://t.co/p0PuNcri4X",0.0,0.13,0.87,-0.34
33,Fri Mar 09 21:14:49 +0000 2018,"""Was it going to be in the Briefing Room? Was Sarah Sanders going to introduce him? Was it going to be outside? Was… https://t.co/n8L8tzcSTq",0.0,0.0,1.0,0.0
34,Fri Mar 09 19:48:33 +0000 2018,"WH press secretary Sarah Sanders says the US will not move forward with North Korean talks ""until we see concrete a… https://t.co/6XVwTc4Umv",0.0,0.0,1.0,0.0
35,Fri Mar 09 19:25:48 +0000 2018,"""It really raises the question, Brooke, about who's telling the truth in this entire situation."" CNN's Areva Martin… https://t.co/SNrFvceV4D",0.113,0.0,0.887,0.3182
36,Fri Mar 09 19:11:22 +0000 2018,"""The goal is to begin to talk about what steps that both countries can take to begin to back away from the brinkman… https://t.co/5RVnP1DCJU",0.0,0.0,1.0,0.0
37,Fri Mar 09 15:53:56 +0000 2018,"""Any path that leads to a diplomatic resolution to ease tensions in the Korean Peninsula and leads to a denucleariz… https://t.co/4cCiAbSkvV",0.113,0.122,0.766,-0.0516
38,Fri Mar 09 14:54:41 +0000 2018,"""Kim Jong Un is very sly... He's been to this rodeo before"" says former US Ambassador to China Max Baucus. ""It's re… https://t.co/Xh3djQxz7V",0.0,0.0,1.0,0.0
39,Fri Mar 09 14:43:56 +0000 2018,RT @CNN: Former Trump campaign aide Sam Nunberg has arrived at court to testify before a grand jury in special counsel Robert Mueller’s inv…,0.213,0.0,0.787,0.6908
40,Fri Mar 09 13:32:37 +0000 2018,"RT @CNNMoney: U.S. economy added 313,000 jobs last month, much more than expected. Unemployment remained at 4.1%.  https://t.co/A9OlUXl3FI",0.0,0.157,0.843,-0.4877
41,Thu Mar 08 20:48:46 +0000 2018,"""The city of Parkland, nobody knew where that was...now the world knows where Parkland is: it's on the list of Colu… https://t.co/9af0splBU7",0.0,0.0,1.0,0.0
42,Thu Mar 08 20:44:57 +0000 2018,"RT @BrookeBCNN: FL State Rep @JaredEMoskowitz on gun control: “@realDonaldTrump, pass an executive order on assault weapons, bump stocks...…",0.0,0.363,0.637,-0.8442
43,Thu Mar 08 20:43:23 +0000 2018,"""I shouldn't have even had to do this...he's got very expensive and fancy paper in his Oval Office."" FL State Rep.… https://t.co/Eim9heJsxJ",0.0,0.0,1.0,0.0
44,Thu Mar 08 17:11:46 +0000 2018,"Trump on outgoing chief economic adviser Gary Cohn: “He’s been terrific. He may be a globalist, but I still like hi… https://t.co/vTKrmfDuT3",0.289,0.0,0.711,0.7096
45,Thu Mar 08 16:44:37 +0000 2018,Florida lawmakers pass bill that would allow some teachers and staff to carry guns in school https://t.co/t40RFDf2T1 https://t.co/NUZOQYS5Pm,0.101,0.0,0.899,0.2263
46,Thu Mar 08 16:24:11 +0000 2018,President Trump is upset with White House press secretary Sarah Sanders over her responses regarding his alleged af… https://t.co/GIfJ4OHgJ6,0.0,0.126,0.874,-0.3818
47,Thu Mar 08 13:58:00 +0000 2018,"To celebrate #IWD2018, @CNN asked women around the world, ""What single thing would you change to improve gender equ… https://t.co/HpMm77nEXK",0.268,0.0,0.732,0.765
